area,price
7420,13300000
8960,12250000
9960,12250000
7500,12215000
7420,11410000
7500,10850000
8580,10150000
16200,10150000
8100,9870000
5750,9800000
13200,9800000
6000,9681000
6550,9310000
3500,9240000
7800,9240000
6000,9100000
6600,9100000
8500,8960000
4600,8890000
6420,8855000
4320,8750000
7155,8680000
8050,8645000
4560,8645000
8800,8575000
6540,8540000
6000,8463000
8875,8400000
7950,8400000
5500,8400000
7475,8400000
7000,8400000
4880,8295000
5960,8190000
6840,8120000
7000,8080940
7482,8043000
9000,7980000
6000,7962500
6000,7910000
6550,7875000
6360,7840000
6480,7700000
6000,7700000
6000,7560000
6000,7560000
6000,7525000
6600,7490000
4300,7455000
